,combined,combined,combined,contradiction,contradiction,contradiction,missing_tool,missing_tool,missing_tool,overgeneration,overgeneration,overgeneration
,P,R,F1,P,R,F1,P,R,F1,P,R,F1
method,,,,,,,,,,,,
lexical,0.1437,0.6975,0.2383,0.0249,0.7739,0.0483,0.0778,0.7086,0.1401,0.1875,0.6919,0.295
lettucedect-base-modernbert-en-v1,0.1761,0.7051,0.2818,0.0357,0.6382,0.0677,0.1095,0.7937,0.1925,0.2154,0.6824,0.3275
lettucedect-large-modernbert-en-v1,0.1772,0.7377,0.2857,0.0425,0.706,0.0801,0.1179,0.9102,0.2087,0.2104,0.6903,0.3224
